Node,to_Node,distance
Netherlands,NO5,972.5259949956844
NO1,NO5,257.1636549960117
NO2,NO5,195.65087115587133
NO3,NO5,355.986054924689
NO4,NO5,1002.2488671790934
Austria,Poland,641.5775223101199
Bosnia H,Poland,924.4338005969846
Belgium,Poland,1054.7607179373151
Bulgaria,Poland,1165.7020956727167
Switzerland,Poland,1021.0992390169525
Czech R,Poland,397.5445751655826
Germany,Poland,632.4188679695119
Denmark,Poland,810.1902079200423
Estonia,Poland,843.8381124483612
Spain,Poland,2218.5161020671153
Finland,Poland,1404.8780847715316
France,Poland,1383.3311451488319
Great Brit.,Poland,1427.512848179262
Greece,Poland,1490.4816943145172
Croatia,Poland,770.1971343993994
Hungary,Poland,586.9472868639796
Ireland,Poland,1894.642752875889
Italy,Poland,1080.8376110428242
Lithuania,Poland,482.7597262666227
Luxemb.,Poland,982.7979071014925
Latvia,Poland,675.2462562456008
Macedonia,Poland,1214.65345176767
Netherlands,Poland,960.2964210228031
NO1,Poland,1051.3886976463132
NO2,Poland,1093.502399762821
NO3,Poland,1346.817040740993
NO4,Poland,1832.2961583049985
NO5,Poland,1262.607182966832
Austria,Portugal,2087.255850289227
Bosnia H,Portugal,2282.801235849761
Belgium,Portugal,1649.9876153013593
Bulgaria,Portugal,2900.318816412612
Switzerland,Portugal,1608.189660710975
Czech R,Portugal,2228.7009391299207
Germany,Portugal,2000.674253569728
