Node,Period,New capacity [MW],Total capacity [MW],New capacity [kg/h],Total capacity [kg/h],Expected annual power usage [MWh],Expected annual hydrogen production [kg],Expected marginal price of hydrogen [EUR/kg]
Finland,2040-2045,1.9834673100682024e-05,7.536552062789687e-05,0.0004175720652775163,0.001586642539534671,0.3482563341471958,7.331712297835701,1.4505785667363917
Finland,2045-2050,3.042938392448713e-06,7.391193395434725e-05,6.406186089365711e-05,0.0015560407148283635,0.31638193586343427,6.660672333967037,1.2601914675615733
Finland,2050-2055,0.0001064544922600308,0.00012944213008161823,0.0022411472054743326,0.002725097475402489,0.7825105155575035,16.473905590684286,1.0508288225215114
Finland,2055-2060,1.7040373426924555e-07,0.00012950056360345303,3.587447037247275e-06,0.0027263276548095375,0.8696997286384882,18.309467971336595,1.0611616818423326
France,2020-2025,5.747255278982021e-06,5.747255278982021e-06,0.00010449555052694584,0.00010449555052694584,0.0187823122592761,0.3414965865322927,0.0
France,2025-2030,3.956363182917938e-06,9.703100139234051e-06,7.535929872224644e-05,0.00018482095503302956,0.03989440222988382,0.759893375807311,3.022746080288867
France,2030-2035,3.116954530981649e-05,4.087212712712745e-05,0.0005937056249488854,0.00077851670718338,0.2224949817419734,4.237999652228065,2.871675848240579
France,2035-2040,6.515015392510568e-07,4.1523110341230106e-05,1.3715821878969617e-05,0.0008741707440258971,0.21974428461768503,4.626195465635474,2.1708866437130787
France,2040-2045,4.1811753018094734e-05,7.758734881774266e-05,0.0008802474319598892,0.001633417869847214,0.35969218405271963,7.572467032688834,1.4505785670620885
France,2045-2050,1.2615793775719443e-07,7.375714476725266e-05,2.655956584361988e-06,0.0015527819951000562,0.3077545409351693,6.479042967056196,1.2601914678792712
France,2050-2055,7.845348522983373e-05,0.00012104108329054499,0.0016516523206280788,0.0025482333324325264,0.7256187008947536,15.276183176731653,1.0508288227727278
France,2055-2060,3.8596026020488307e-07,0.00012077554231655087,8.125479162208066e-06,0.0025426429961379134,0.8173068549923017,17.206460105101087,1.0611616821160512
