Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Serbia,Hydrorun-of-the-river,2050-2055,4727.0005028153655
Serbia,Hydrorun-of-the-river,2055-2060,0.023268072274767043
Slovakia,Hydrorun-of-the-river,2020-2025,0.00022681629552860876
Slovakia,Hydrorun-of-the-river,2025-2030,67.2027596042857
Slovakia,Hydrorun-of-the-river,2030-2035,62.776885580394946
Slovakia,Hydrorun-of-the-river,2035-2040,0.0007289471698100279
Slovakia,Hydrorun-of-the-river,2040-2045,0.002744918958202436
Slovakia,Hydrorun-of-the-river,2045-2050,306.2099660772978
Slovakia,Hydrorun-of-the-river,2050-2055,153.00156500295734
Slovakia,Hydrorun-of-the-river,2055-2060,0.011216910600665464
BosniaH,Hydrorun-of-the-river,2020-2025,0.0
BosniaH,Hydrorun-of-the-river,2025-2030,0.0
BosniaH,Hydrorun-of-the-river,2030-2035,0.0
BosniaH,Hydrorun-of-the-river,2035-2040,0.0
BosniaH,Hydrorun-of-the-river,2040-2045,0.0
BosniaH,Hydrorun-of-the-river,2045-2050,0.0
BosniaH,Hydrorun-of-the-river,2050-2055,0.0
BosniaH,Hydrorun-of-the-river,2055-2060,0.0
Austria,Windonshore,2020-2025,0.00022892913936443097
Austria,Windonshore,2025-2030,103.0186306326399
Austria,Windonshore,2030-2035,68.48015321917863
Austria,Windonshore,2035-2040,531.2756490665106
Austria,Windonshore,2040-2045,749.9172600716752
Austria,Windonshore,2045-2050,1353.322179856352
Austria,Windonshore,2050-2055,3727.4384917084385
Austria,Windonshore,2055-2060,3760.0292529981625
BosniaH,Windonshore,2020-2025,0.00021637993206148065
BosniaH,Windonshore,2025-2030,0.7846561599748753
BosniaH,Windonshore,2030-2035,0.007207454151632744
BosniaH,Windonshore,2035-2040,0.3247483978567716
BosniaH,Windonshore,2040-2045,10.582157079090384
BosniaH,Windonshore,2045-2050,1.723637757585781
BosniaH,Windonshore,2050-2055,76.65372193640067
BosniaH,Windonshore,2055-2060,66.34875677784538
Belgium,Windonshore,2020-2025,0.00021987455609311072
Belgium,Windonshore,2025-2030,0.00015665451679327063
Belgium,Windonshore,2030-2035,0.0041938843497041235
Belgium,Windonshore,2035-2040,0.007351914802454981
Belgium,Windonshore,2040-2045,228.47611271165147
Belgium,Windonshore,2045-2050,143.2089560827046
Belgium,Windonshore,2050-2055,131.54375095086013
Belgium,Windonshore,2055-2060,172.59961154049086
Bulgaria,Windonshore,2020-2025,0.00046726049999230103
Bulgaria,Windonshore,2025-2030,0.0003742365122261273
Bulgaria,Windonshore,2030-2035,0.049724196260381
Bulgaria,Windonshore,2035-2040,1347.287660986852
Bulgaria,Windonshore,2040-2045,3138.7914501106707
Bulgaria,Windonshore,2045-2050,12656.429293137026
Bulgaria,Windonshore,2050-2055,19185.33999841692
Bulgaria,Windonshore,2055-2060,8914.324170695085
Switzerland,Windonshore,2020-2025,0.00021030410429704135
Switzerland,Windonshore,2025-2030,1.5817066010067529
Switzerland,Windonshore,2030-2035,0.28249182152798136
Switzerland,Windonshore,2035-2040,0.12989877754399604
Switzerland,Windonshore,2040-2045,74.35106639660978
Switzerland,Windonshore,2045-2050,63.61444773841852
Switzerland,Windonshore,2050-2055,195.0729755856654
Switzerland,Windonshore,2055-2060,218.50238360337283
CzechR,Windonshore,2020-2025,0.0002534009097745985
CzechR,Windonshore,2025-2030,0.0006292772644858673
CzechR,Windonshore,2030-2035,2156.367486211453
CzechR,Windonshore,2035-2040,1879.212665796493
CzechR,Windonshore,2040-2045,18443.22494722191
CzechR,Windonshore,2045-2050,22889.15387177563
CzechR,Windonshore,2050-2055,25925.24933823041
CzechR,Windonshore,2055-2060,28144.036347639278
Germany,Windonshore,2020-2025,0.0002450175390892286
Germany,Windonshore,2025-2030,0.00015778594283071595
Germany,Windonshore,2030-2035,2185.302276452695
Germany,Windonshore,2035-2040,2445.957577941681
Germany,Windonshore,2040-2045,15839.955340272672
Germany,Windonshore,2045-2050,8859.895954666126
Germany,Windonshore,2050-2055,20477.68817075081
Germany,Windonshore,2055-2060,21515.00534230768
Denmark,Windonshore,2020-2025,0.0002673704060005303
Denmark,Windonshore,2025-2030,0.00016015209488669317
Denmark,Windonshore,2030-2035,0.009321666153583723
Denmark,Windonshore,2035-2040,0.015479061487997967
Denmark,Windonshore,2040-2045,879.9553347267123
Denmark,Windonshore,2045-2050,762.9736141102662
Denmark,Windonshore,2050-2055,3502.898044972034
Denmark,Windonshore,2055-2060,2011.4679337017792
Estonia,Windonshore,2020-2025,0.00020398277069137325
Estonia,Windonshore,2025-2030,0.009814131417623776
Estonia,Windonshore,2030-2035,0.004260677901077896
Estonia,Windonshore,2035-2040,26.12918014999393
Estonia,Windonshore,2040-2045,999.9241670831967
Estonia,Windonshore,2045-2050,734.560623836647
Estonia,Windonshore,2050-2055,2402.508390468902
Estonia,Windonshore,2055-2060,4538.965845500295
Spain,Windonshore,2020-2025,40.97338554531923
Spain,Windonshore,2025-2030,2085.1484293640374
Spain,Windonshore,2030-2035,11497.752763752198
Spain,Windonshore,2035-2040,13483.925166450901
Spain,Windonshore,2040-2045,58920.25988646379
Spain,Windonshore,2045-2050,160020.87378047526
Spain,Windonshore,2050-2055,221921.2032160581
Spain,Windonshore,2055-2060,114655.00224927253
Finland,Windonshore,2020-2025,0.0002187287738573278
Finland,Windonshore,2025-2030,1661.3131880479953
Finland,Windonshore,2030-2035,0.0030527378525325574
Finland,Windonshore,2035-2040,321.92904328396963
Finland,Windonshore,2040-2045,110.43512924625031
Finland,Windonshore,2045-2050,41.70646005967016
Finland,Windonshore,2050-2055,11.889162628105952
Finland,Windonshore,2055-2060,83.43467983252347
France,Windonshore,2020-2025,0.0002673044650134522
France,Windonshore,2025-2030,0.00018114637371939612
France,Windonshore,2030-2035,0.0033796782839457585
France,Windonshore,2035-2040,0.007335724973769386
France,Windonshore,2040-2045,4834.276009406431
France,Windonshore,2045-2050,46064.83516650377
France,Windonshore,2050-2055,49668.663860718385
France,Windonshore,2055-2060,76915.33589469016
GreatBrit.,Windonshore,2020-2025,13.82370401306149
GreatBrit.,Windonshore,2025-2030,8629.660488794521
GreatBrit.,Windonshore,2030-2035,2193.3563769574994
GreatBrit.,Windonshore,2035-2040,1971.3393789643058
GreatBrit.,Windonshore,2040-2045,10997.884946022958
GreatBrit.,Windonshore,2045-2050,2864.265045476293
GreatBrit.,Windonshore,2050-2055,7399.554310333334
GreatBrit.,Windonshore,2055-2060,3975.532953196378
Greece,Windonshore,2020-2025,122.88079650272526
Greece,Windonshore,2025-2030,529.9126295117767
Greece,Windonshore,2030-2035,7132.062964925923
Greece,Windonshore,2035-2040,3253.8789809949985
Greece,Windonshore,2040-2045,23137.109908298567
Greece,Windonshore,2045-2050,23005.661093099898
Greece,Windonshore,2050-2055,34894.58853672499
Greece,Windonshore,2055-2060,13215.320798195604
Croatia,Windonshore,2020-2025,0.00020494739724646367
Croatia,Windonshore,2025-2030,2.4026851070345603
Croatia,Windonshore,2030-2035,0.010612893063124889
Croatia,Windonshore,2035-2040,0.012374780666958306
Croatia,Windonshore,2040-2045,0.30361072587518223
Croatia,Windonshore,2045-2050,0.09743107892778065
Croatia,Windonshore,2050-2055,71.0097553370984
Croatia,Windonshore,2055-2060,217.15485377301084
Hungary,Windonshore,2020-2025,0.0002075191524246477
Hungary,Windonshore,2025-2030,315.65299054180184
Hungary,Windonshore,2030-2035,1934.0606686604563
Hungary,Windonshore,2035-2040,1222.92056757279
Hungary,Windonshore,2040-2045,2676.8082291297205
Hungary,Windonshore,2045-2050,10862.65347323202
Hungary,Windonshore,2050-2055,6926.24368621088
Hungary,Windonshore,2055-2060,16280.336398991647
Ireland,Windonshore,2020-2025,0.0002972802657429197
Ireland,Windonshore,2025-2030,538.7763110428548
Ireland,Windonshore,2030-2035,645.4309599769092
Ireland,Windonshore,2035-2040,8321.451262261658
Ireland,Windonshore,2040-2045,16227.598134921926
Ireland,Windonshore,2045-2050,20004.76345947026
Ireland,Windonshore,2050-2055,25843.91564092606
Ireland,Windonshore,2055-2060,11374.662959576672
Italy,Windonshore,2020-2025,0.00017839748280866702
Italy,Windonshore,2025-2030,319.61308253066284
Italy,Windonshore,2030-2035,3611.8381679360245
Italy,Windonshore,2035-2040,168.57150092104368
Italy,Windonshore,2040-2045,17610.823963123166
Italy,Windonshore,2045-2050,53579.5309119173
Italy,Windonshore,2050-2055,48587.99924693631
Italy,Windonshore,2055-2060,45357.02743572425
Lithuania,Windonshore,2020-2025,0.00021884873195028576
Lithuania,Windonshore,2025-2030,218.62737286986146
Lithuania,Windonshore,2030-2035,923.0572470007788
Lithuania,Windonshore,2035-2040,170.9888527275263
Lithuania,Windonshore,2040-2045,4213.885440034323
Lithuania,Windonshore,2045-2050,3119.0293552837534
Lithuania,Windonshore,2050-2055,4644.643756765633
Lithuania,Windonshore,2055-2060,4933.614855372173
Luxemb.,Windonshore,2020-2025,0.00017022912477776165
Luxemb.,Windonshore,2025-2030,0.00012360199096503842
Luxemb.,Windonshore,2030-2035,0.011153561518620287
Luxemb.,Windonshore,2035-2040,0.37787332508181876
Luxemb.,Windonshore,2040-2045,62.298396377171805
Luxemb.,Windonshore,2045-2050,34.76449468361942
Luxemb.,Windonshore,2050-2055,26.383326486402655
Luxemb.,Windonshore,2055-2060,26.204630604259933
Latvia,Windonshore,2020-2025,0.0002115445805162488
Latvia,Windonshore,2025-2030,0.01916790774101131
Latvia,Windonshore,2030-2035,0.049768989928229264
Latvia,Windonshore,2035-2040,0.020069797607188227
Latvia,Windonshore,2040-2045,15.263315765796882
Latvia,Windonshore,2045-2050,7.621327150977255
Latvia,Windonshore,2050-2055,2.2558204682332517
Latvia,Windonshore,2055-2060,20.167563219282567
Macedonia,Windonshore,2020-2025,0.00018974711840960014
Macedonia,Windonshore,2025-2030,0.00017926256492447368
Macedonia,Windonshore,2030-2035,0.01946830836985728
Macedonia,Windonshore,2035-2040,0.32982341631606094
Macedonia,Windonshore,2040-2045,0.19471769039096293
Macedonia,Windonshore,2045-2050,0.33453252021191954
Macedonia,Windonshore,2050-2055,0.000459502604520605
Macedonia,Windonshore,2055-2060,0.00036552748789876836
Netherlands,Windonshore,2020-2025,0.0002288838982010332
Netherlands,Windonshore,2025-2030,0.0001544389413068453
Netherlands,Windonshore,2030-2035,0.008283760739035213
Netherlands,Windonshore,2035-2040,0.013275875241429662
Netherlands,Windonshore,2040-2045,3131.616391103914
Netherlands,Windonshore,2045-2050,858.6392759991506
Netherlands,Windonshore,2050-2055,266.2857588624541
Netherlands,Windonshore,2055-2060,21.47378759916904
Poland,Windonshore,2020-2025,0.00024070601357070381
