Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Austria,Windonshore,2040-2045,2332.2066504724576
Austria,Windonshore,2045-2050,1163.4459650659958
Austria,Windonshore,2050-2055,2134.991256321317
Austria,Windonshore,2055-2060,1820.3698617405867
BosniaH,Windonshore,2020-2025,0.0009726941360012814
BosniaH,Windonshore,2025-2030,0.0007866267643654647
BosniaH,Windonshore,2030-2035,1.5817981937481727
BosniaH,Windonshore,2035-2040,0.17033170994130403
BosniaH,Windonshore,2040-2045,4.213240339448693
BosniaH,Windonshore,2045-2050,1.5191359859799958
BosniaH,Windonshore,2050-2055,0.0035235196444132833
BosniaH,Windonshore,2055-2060,0.0033319815434120913
Belgium,Windonshore,2020-2025,0.001091418125271967
Belgium,Windonshore,2025-2030,0.0007212826511469062
Belgium,Windonshore,2030-2035,0.004843450586541325
Belgium,Windonshore,2035-2040,0.01117244956070605
Belgium,Windonshore,2040-2045,0.13964032170791277
Belgium,Windonshore,2045-2050,0.13749510857794664
Belgium,Windonshore,2050-2055,111.26968326438022
Belgium,Windonshore,2055-2060,35.28956922178523
Bulgaria,Windonshore,2020-2025,0.002031994406941407
Bulgaria,Windonshore,2025-2030,0.0014699741479086295
Bulgaria,Windonshore,2030-2035,101.38397394906241
Bulgaria,Windonshore,2035-2040,1416.43275572586
Bulgaria,Windonshore,2040-2045,5984.044866854797
Bulgaria,Windonshore,2045-2050,8099.935170702654
Bulgaria,Windonshore,2050-2055,10937.566807164896
Bulgaria,Windonshore,2055-2060,10484.167432906783
Switzerland,Windonshore,2020-2025,0.0009722265548821663
Switzerland,Windonshore,2025-2030,3.570987523750482
Switzerland,Windonshore,2030-2035,0.04326743492690553
Switzerland,Windonshore,2035-2040,0.15435932488934045
Switzerland,Windonshore,2040-2045,8.958052243722673
Switzerland,Windonshore,2045-2050,96.50121935092918
Switzerland,Windonshore,2050-2055,190.866513602951
Switzerland,Windonshore,2055-2060,236.13785220570327
CzechR,Windonshore,2020-2025,0.0011218269641010985
CzechR,Windonshore,2025-2030,0.0006996637787460844
CzechR,Windonshore,2030-2035,571.4614884820415
CzechR,Windonshore,2035-2040,374.5735261696911
CzechR,Windonshore,2040-2045,9238.945267080995
CzechR,Windonshore,2045-2050,10832.641636917762
CzechR,Windonshore,2050-2055,29489.532870188817
CzechR,Windonshore,2055-2060,19427.61737583529
Germany,Windonshore,2020-2025,0.0011206490005545256
Germany,Windonshore,2025-2030,0.000721664749849145
Germany,Windonshore,2030-2035,0.004815571440192142
Germany,Windonshore,2035-2040,0.029241468014063444
Germany,Windonshore,2040-2045,13842.709188304058
Germany,Windonshore,2045-2050,7707.45358797308
Germany,Windonshore,2050-2055,11737.04501135535
Germany,Windonshore,2055-2060,10081.726386416945
Denmark,Windonshore,2020-2025,0.0012559387381248968
Denmark,Windonshore,2025-2030,0.009749683162416952
Denmark,Windonshore,2030-2035,0.041404806520863695
Denmark,Windonshore,2035-2040,0.08083189533472505
Denmark,Windonshore,2040-2045,0.20954535877828492
Denmark,Windonshore,2045-2050,0.23936204084867424
Denmark,Windonshore,2050-2055,0.012834426190667545
Denmark,Windonshore,2055-2060,0.017983294482941007
Estonia,Windonshore,2020-2025,0.0008321230896430533
Estonia,Windonshore,2025-2030,0.01672285154589779
Estonia,Windonshore,2030-2035,0.03267167477558739
Estonia,Windonshore,2035-2040,0.01787008408772686
Estonia,Windonshore,2040-2045,352.4336685194553
