BetweenNode,AndNode,Period,transmissionInvCap_MW,transmissionInvCapMax_MW,transmissionInstalledCap_MW,transmissionInstalledCapMax_MW,DiscountedInvestmentCost_Euro,transmissionExpectedAnnualVolume_GWh,ExpectedAnnualLosses_GWh
EnergyhubEU,VestavindE,2055-2060,1.0716939238251115e-07,10000,0.00012060602211874748,20000.0,0.00609810731149014,0.0008715921087594812,2.614776326278441e-05
VestavindA,VestavindE,2020-2025,2.6187844542151292e-05,10000,2.6187844542151292e-05,1000.0,22.54533584351433,0.00018057712014121158,5.4173136042363675e-06
VestavindA,VestavindE,2025-2030,2.079518095410353e-06,20000.0,2.8265289344687507e-05,1000.0,1.4027270224219428,0.00018980087195349094,5.6940261586047225e-06
VestavindA,VestavindE,2030-2035,3.70522293942327e-05,20000.0,6.531544544627742e-05,1000.0,14.576011106544437,0.0003999421886217411,1.1998265658652214e-05
VestavindA,VestavindE,2035-2040,4.179974623649498e-07,20000.0,6.573136961588873e-05,1000.0,0.12095802166208386,0.00042812377163002787,1.2843713148900832e-05
VestavindA,VestavindE,2040-2045,0.00016564771532930124,20000.0,0.0002313770116520719,1000.0,24.721957188133175,0.001167474697629325,3.5024240928879686e-05
VestavindA,VestavindE,2045-2050,2.8132166534556015e-07,20000.0,0.00023165626002563113,1000.0,0.029088183561286778,0.0013444013518671633,4.0332040556014946e-05
VestavindA,VestavindE,2050-2055,4.7348851245194405e-07,20000.0,0.0002321276752451046,1000.0,0.03194952034739554,0.001399041585848275,4.197124757544822e-05
VestavindA,VestavindE,2055-2060,2.1177131887973987e-07,20000.0,0.00023233737327160676,1000.0,0.008329278530563613,0.0013981948948755252,4.194584684626581e-05
SønnavindA,VestavindE,2020-2025,2.9265194459447438e-05,10000,2.9265194459447438e-05,1000.0,21.457569614406705,0.00018983919895543125,5.695175968662948e-06
SønnavindA,VestavindE,2025-2030,1.7068178794811353e-06,20000.0,3.096993904605829e-05,1000.0,0.9805501358285217,0.00019808234258696377,5.942470277608941e-06
SønnavindA,VestavindE,2030-2035,3.42737148415948e-05,20000.0,6.524158059482289e-05,1000.0,11.483061386107924,0.0003824714783770657,1.1474144351312005e-05
SønnavindA,VestavindE,2035-2040,1.1515226687166002e-07,20000.0,6.535465956923735e-05,1000.0,0.028379561627725234,0.00041134731984438617,1.2340419595331606e-05
SønnavindA,VestavindE,2040-2045,8.768822427748931e-05,20000.0,0.00015304081055399262,1000.0,11.145789488199071,0.0007823843171199627,2.3471529513598864e-05
SønnavindA,VestavindE,2045-2050,4.162048766149425e-05,20000.0,0.00019465922492262297,1000.0,3.6651583947979955,0.0010026906339814358,3.008071901944302e-05
SønnavindA,VestavindE,2050-2055,1.5611980002083136e-05,20000.0,0.00021026913163156352,1000.0,0.8971912781919464,0.0011586682375986411,3.4760047127959276e-05
SønnavindA,VestavindE,2055-2060,2.4667331477945526e-07,20000.0,0.00021051373165418644,1000.0,0.008262939532834582,0.0011359235644240499,3.40777069327215e-05
SørvestC,VestavindE,2020-2025,2.9267133078579497e-05,10000,2.9267133078579497e-05,1000.0,18.24696472637337,0.00018986660066479342,5.6959980199437886e-06
