Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Germany,Windonshore,2035-2040,2185.1607287566007
Germany,Windonshore,2040-2045,9986.748786707185
Germany,Windonshore,2045-2050,4953.360022652963
Germany,Windonshore,2050-2055,14941.328658151118
Germany,Windonshore,2055-2060,21303.077439990688
Denmark,Windonshore,2020-2025,0.0019430175694207148
Denmark,Windonshore,2025-2030,0.005940055456467797
Denmark,Windonshore,2030-2035,0.06212134773303531
Denmark,Windonshore,2035-2040,0.08132120303983432
Denmark,Windonshore,2040-2045,0.23346914821668124
Denmark,Windonshore,2045-2050,0.22936989738698438
Denmark,Windonshore,2050-2055,616.6136712404426
Denmark,Windonshore,2055-2060,378.742722828936
Estonia,Windonshore,2020-2025,0.0013196814175929685
Estonia,Windonshore,2025-2030,0.19285910804628217
Estonia,Windonshore,2030-2035,0.0619578653750114
Estonia,Windonshore,2035-2040,3.161483462027336
Estonia,Windonshore,2040-2045,2.827106194502077
Estonia,Windonshore,2045-2050,1243.0097970581803
Estonia,Windonshore,2050-2055,2912.834870929749
Estonia,Windonshore,2055-2060,3326.5803634340323
Spain,Windonshore,2020-2025,0.001368635483764924
Spain,Windonshore,2025-2030,1385.3022962252178
Spain,Windonshore,2030-2035,15602.744584346123
Spain,Windonshore,2035-2040,29758.64723042162
Spain,Windonshore,2040-2045,69771.78370658132
Spain,Windonshore,2045-2050,133189.0051996512
Spain,Windonshore,2050-2055,100399.05940118487
Spain,Windonshore,2055-2060,121091.60659864814
Finland,Windonshore,2020-2025,0.0014416240191464117
Finland,Windonshore,2025-2030,376.29912833576975
Finland,Windonshore,2030-2035,0.04965464599140606
Finland,Windonshore,2035-2040,84.56547379766887
Finland,Windonshore,2040-2045,0.0864324366349188
Finland,Windonshore,2045-2050,0.11030043221866682
Finland,Windonshore,2050-2055,395.4220370149856
Finland,Windonshore,2055-2060,18.487824250100378
France,Windonshore,2020-2025,0.001891999164813601
France,Windonshore,2025-2030,0.001590368131798926
France,Windonshore,2030-2035,0.015528326178328802
France,Windonshore,2035-2040,215.60107847003937
France,Windonshore,2040-2045,10820.59439402229
France,Windonshore,2045-2050,12461.58070167828
France,Windonshore,2050-2055,29682.165716994426
France,Windonshore,2055-2060,50857.357687524214
GreatBrit.,Windonshore,2020-2025,0.0016867777856697087
GreatBrit.,Windonshore,2025-2030,234.82562605665603
GreatBrit.,Windonshore,2030-2035,0.053316996483142705
GreatBrit.,Windonshore,2035-2040,0.11413941622766259
GreatBrit.,Windonshore,2040-2045,1932.1864110954828
GreatBrit.,Windonshore,2045-2050,177.0652193146029
GreatBrit.,Windonshore,2050-2055,4124.960609151489
GreatBrit.,Windonshore,2055-2060,2313.902135186916
Greece,Windonshore,2020-2025,0.0013066662888185437
Greece,Windonshore,2025-2030,1186.38390381834
Greece,Windonshore,2030-2035,3330.8257766568854
Greece,Windonshore,2035-2040,4679.155549505135
Greece,Windonshore,2040-2045,24408.455694238743
Greece,Windonshore,2045-2050,18435.074047429705
Greece,Windonshore,2050-2055,24822.306109036956
Greece,Windonshore,2055-2060,18486.93169921195
Croatia,Windonshore,2020-2025,0.0014375836491687588
Croatia,Windonshore,2025-2030,4.589708120256837
Croatia,Windonshore,2030-2035,2.097172745966645
Croatia,Windonshore,2035-2040,0.20561366717667248
Croatia,Windonshore,2040-2045,18.739210686064595
Croatia,Windonshore,2045-2050,330.6015371326301
Croatia,Windonshore,2050-2055,180.86206995147262
Croatia,Windonshore,2055-2060,151.26764323349363
Hungary,Windonshore,2020-2025,0.0014754800386047968
Hungary,Windonshore,2025-2030,46.28147943468771
Hungary,Windonshore,2030-2035,178.14655106379004
Hungary,Windonshore,2035-2040,180.0613701733493
Hungary,Windonshore,2040-2045,5414.815150846582
Hungary,Windonshore,2045-2050,5301.761026393749
Hungary,Windonshore,2050-2055,8997.423944330207
Hungary,Windonshore,2055-2060,6131.148492312729
Ireland,Windonshore,2020-2025,0.0012986209556741716
Ireland,Windonshore,2025-2030,839.0786465242438
Ireland,Windonshore,2030-2035,1585.2393155665713
Ireland,Windonshore,2035-2040,546.4842201194054
Ireland,Windonshore,2040-2045,9464.391077329214
Ireland,Windonshore,2045-2050,6456.760207173188
Ireland,Windonshore,2050-2055,3255.2654934444668
Ireland,Windonshore,2055-2060,6423.972415415461
Italy,Windonshore,2020-2025,0.0011509364501346767
Italy,Windonshore,2025-2030,416.06255640269507
Italy,Windonshore,2030-2035,3592.3502559122635
