Node,RESGeneratorType,Period,ExpectedAnnualCurtailment_GWh
Bulgaria,Windonshore,2050-2055,13270.693942505188
Bulgaria,Windonshore,2055-2060,8666.132586842643
Switzerland,Windonshore,2020-2025,0.0007966182379208166
Switzerland,Windonshore,2025-2030,0.38428510318302944
Switzerland,Windonshore,2030-2035,7.217021169849901
Switzerland,Windonshore,2035-2040,8.530587047154144
Switzerland,Windonshore,2040-2045,147.06601931860018
Switzerland,Windonshore,2045-2050,150.51244001264203
Switzerland,Windonshore,2050-2055,263.11965311632474
Switzerland,Windonshore,2055-2060,212.49012202706334
CzechR,Windonshore,2020-2025,0.0008842892932801757
CzechR,Windonshore,2025-2030,0.000595421683560176
CzechR,Windonshore,2030-2035,555.2180977042768
CzechR,Windonshore,2035-2040,660.0098443039853
CzechR,Windonshore,2040-2045,12069.15700823779
CzechR,Windonshore,2045-2050,21949.982516660682
CzechR,Windonshore,2050-2055,15885.444563522708
CzechR,Windonshore,2055-2060,18289.154204597635
Germany,Windonshore,2020-2025,0.000872910015325792
Germany,Windonshore,2025-2030,0.0005881357686104775
Germany,Windonshore,2030-2035,368.2219668028449
Germany,Windonshore,2035-2040,550.5426778018413
Germany,Windonshore,2040-2045,7689.165415077921
Germany,Windonshore,2045-2050,4169.874096339649
Germany,Windonshore,2050-2055,23349.14067854224
Germany,Windonshore,2055-2060,17055.244060727968
Denmark,Windonshore,2020-2025,0.0008726877066514048
Denmark,Windonshore,2025-2030,0.0006100142312487454
Denmark,Windonshore,2030-2035,0.0261779107145545
Denmark,Windonshore,2035-2040,0.05633046290653299
Denmark,Windonshore,2040-2045,0.14132088899858924
Denmark,Windonshore,2045-2050,92.76014422762859
Denmark,Windonshore,2050-2055,677.9593565089205
Denmark,Windonshore,2055-2060,880.5319772308072
Estonia,Windonshore,2020-2025,0.0006429346920532928
Estonia,Windonshore,2025-2030,13.575241620959623
Estonia,Windonshore,2030-2035,6.598858036808939
Estonia,Windonshore,2035-2040,249.00376951219081
Estonia,Windonshore,2040-2045,174.50476741140426
Estonia,Windonshore,2045-2050,3451.0111063654
Estonia,Windonshore,2050-2055,3363.528966079285
Estonia,Windonshore,2055-2060,832.2165420084581
Spain,Windonshore,2020-2025,0.0006873802977786231
Spain,Windonshore,2025-2030,2468.7214386450896
Spain,Windonshore,2030-2035,7910.1488055036325
Spain,Windonshore,2035-2040,25913.208623543578
Spain,Windonshore,2040-2045,69362.58471084219
Spain,Windonshore,2045-2050,61438.43193493403
Spain,Windonshore,2050-2055,84004.70637447077
Spain,Windonshore,2055-2060,111863.50866248767
Finland,Windonshore,2020-2025,20.18749412585901
Finland,Windonshore,2025-2030,3215.3297818389865
Finland,Windonshore,2030-2035,1096.5644752465014
Finland,Windonshore,2035-2040,471.9362582491867
Finland,Windonshore,2040-2045,67.417601547096
Finland,Windonshore,2045-2050,482.2775096848985
Finland,Windonshore,2050-2055,495.22511080383777
Finland,Windonshore,2055-2060,270.0907610015698
France,Windonshore,2020-2025,0.0009292704422434049
France,Windonshore,2025-2030,0.0006368920283432976
France,Windonshore,2030-2035,0.009019002295394032
France,Windonshore,2035-2040,0.02126854009343194
France,Windonshore,2040-2045,10902.645642445807
France,Windonshore,2045-2050,45570.22242132161
France,Windonshore,2050-2055,32162.337108431722
France,Windonshore,2055-2060,69223.6108580265
GreatBrit.,Windonshore,2020-2025,0.0007120806196300602
GreatBrit.,Windonshore,2025-2030,6145.255409036706
GreatBrit.,Windonshore,2030-2035,250.23052767281814
GreatBrit.,Windonshore,2035-2040,0.054912512604770355
GreatBrit.,Windonshore,2040-2045,3882.092376496626
GreatBrit.,Windonshore,2045-2050,7593.187900380428
GreatBrit.,Windonshore,2050-2055,5198.6050382928315
GreatBrit.,Windonshore,2055-2060,3459.759723931183
Greece,Windonshore,2020-2025,0.0007091954755165809
Greece,Windonshore,2025-2030,1171.2068615050046
Greece,Windonshore,2030-2035,3919.708729700439
Greece,Windonshore,2035-2040,4935.156849463665
Greece,Windonshore,2040-2045,36339.52161770083
Greece,Windonshore,2045-2050,25285.822821211783
Greece,Windonshore,2050-2055,33374.47185157641
Greece,Windonshore,2055-2060,28034.233653424755
Croatia,Windonshore,2020-2025,0.0007791963057339603
Croatia,Windonshore,2025-2030,0.0005419406708745437
Croatia,Windonshore,2030-2035,2.106192123637775
Croatia,Windonshore,2035-2040,0.10985659570868407
Croatia,Windonshore,2040-2045,715.4981543725694
Croatia,Windonshore,2045-2050,495.19973979999406
Croatia,Windonshore,2050-2055,476.2379525479415
Croatia,Windonshore,2055-2060,436.1167047038638
